Record_Type,Policy_Number,Foreign_Reg_Ind,Registration_Number,Vehicle_Derivative,Named_Driver,Trade_Plate_Ind,Cover_Start_Date,Cover_End_Date,Insert_Date,Update_date,Active_Flag,MID_File_Seq_No,MID_Sent_Ind,Mid_Sent_Date,MID_Status,MID_Error_Codes,Vehicle_Make,Vehicle_Model,Inserted_By,Updated_By
"N","F42005P             ","U","LR63JWU"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LT15XHL"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LT16KTN"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","AVENSIS","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LT69FTX"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","C-HR","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LT70JJU"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42005P             ","U","LT70JJX"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42007Z             ","U","BA68RNN","","","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-21 00:00:00,2022-03-21 00:00:00,"A",1266,"Y",2022-03-21 00:00:00,"acknowledged","","FORD","FOCUS","colin.james@aioinissaydowa.eu","MID RESPONSE JOB"
"N","F42007Z             ","U","VO17EVR"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","NISSAN","JUKE","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42007Z             ","U","VT19RWJ"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-01 00:00:00,2022-01-01 00:00:00,"A",1122,"Y",2022-01-01 00:00:00,"acknowledged","","NISSAN","QASHQAI","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","BD22KSV","","","U",2022-06-24 00:00:00,2022-12-31 00:00:00,2022-06-16 00:00:00,2022-06-24 00:00:00,"A",1434,"Y",2022-06-24 00:00:00,"acknowledged","","HYUNDAI","TUCSON","sam.bland@insurethebox.com","MID RESPONSE JOB"
"N","F42048J             ","U","GN18KYR"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","VOLKSWAGEN","GOLF GTE ADVANC","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","GY18TWF"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","VW","GOLF","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","GY68KFE"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","VOLKSWAGEN","PASSAT SE BUSIN","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","LJ18LLR"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","CITROEN","GRAND C4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","LV18ZBX"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","AUDI","A5","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","OE18XRC"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","SKODA","KARAQ","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42048J             ","U","WN67JMO"," "," ","U",2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-02 00:00:00,2022-01-02 00:00:00,"A",1124,"Y",2022-01-02 00:00:00,"acknowledged","","SKODA","OCTAVIA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42055F             ","U","LD20ORH"," "," ","U",2022-07-01 00:00:00,2023-06-30 00:00:00,2022-07-02 00:00:00,2022-07-02 00:00:00,"A",1452,"Y",2022-07-02 00:00:00,"acknowledged","","JAGUAR","E-PACE CORE","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","EX21FTP","","","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","VOLKSWAGEN","CRAFTER CR35","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","LA21OPZ","","","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","CITROEN","BERLINGO","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","WO19GZT"," "," ","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","VOLKSWAGEN","PASSAT GT TSI E","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","WR71NWC","","","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","MERCEDES","LWB","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","YE71MYH","","","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","..","..","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42109C             ","U","YE71NNU","","","U",2022-06-01 00:00:00,2023-05-31 00:00:00,2022-06-01 00:00:00,2022-06-01 00:00:00,"A",1398,"Y",2022-06-01 00:00:00,"acknowledged","","..","..","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","BA03WXC","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","","TUG","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","BD19CBY"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","LEXUS","NX300H","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","BD69PWK"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","HONDA","CIVIC","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","BU06FFO"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","IVECO","DAILY","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","DC19HVP"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","DC19YZL"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","DY22XFS","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","NISSAN","QASHQAI","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","FV21DYH","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","PEUGEOT","E-208 ELECTRIC","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","MK69TCJ"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","FORK LIFT","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","OU19FUF","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","FORKLIFT","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","OU19FUG","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","FORKLIFT","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","OU19FUH","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","FORKLIFT","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","OU69FYL","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","FORKLIFT","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","VA17EKF"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","NISSAN","XTRAIL","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YB21TKE","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YD21ORJ","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","LEXUS","ES 300H","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YE22XHR","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YF71KJX","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YF71KWX","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YG69UNK"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YG70ZZB"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","FORD","FIESTA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YH21DKT","","","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42134B             ","U","YH69HXA"," "," ","U",2022-11-01 00:00:00,2023-10-31 00:00:00,2022-11-02 00:00:00,2022-11-02 00:00:00,"A",1680,"Y",2022-11-02 00:00:00,"acknowledged","","TOYOTA","COROLLA","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42174P             ","U","FL72NHO","","","U",2022-10-19 00:00:00,2023-06-30 00:00:00,2022-10-18 00:00:00,2022-10-19 00:00:00,"A",1655,"Y",2022-10-19 00:00:00,"acknowledged","","TOYOTA","COROLLA","F42174P","MID RESPONSE JOB"
"N","F42174P             ","U","YM22COH","","","U",2022-07-12 00:00:00,2023-06-30 00:00:00,2022-07-12 00:00:00,2022-07-12 00:00:00,"A",1471,"Y",2022-07-12 00:00:00,"acknowledged","","FORD","FOCUS ESTATE","F42174P","MID RESPONSE JOB"
"N","F42174P             ","U","YR67TCY"," "," ","U",2022-07-01 00:00:00,2023-06-30 00:00:00,2022-07-01 00:00:00,2022-07-01 00:00:00,"A",1449,"Y",2022-07-01 00:00:00,"acknowledged","","FORD","FOCUS ZETEC EDI","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42278C             ","U","AF70UNV","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","PEUGEOT","2008 SUV 50KWH","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42278C             ","U","HK69NDF"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MINI","COUNTRYMAN","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42278C             ","U","LL20JGZ"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","NISSAN","LEAF","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42278C             ","U","LL72NFK","","","U",2022-11-16 00:00:00,2023-09-30 00:00:00,2022-12-05 00:00:00,2022-12-05 00:00:00,"A",1743,"Y",2022-12-05 00:00:00,"acknowledged","","MERCEDES","A250E 5DR HAT 1","F42278C","MID RESPONSE JOB"
"N","F42278C             ","U","PJ20YTP","","","U",2022-10-26 00:00:00,2023-09-30 00:00:00,2022-11-07 00:00:00,2022-11-07 00:00:00,"A",1690,"Y",2022-11-07 00:00:00,"acknowledged","","","","F42278C","MID RESPONSE JOB"
"N","F42278C             ","U","RE69LFD"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","KIA","E-NIRO","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42278C             ","U","WN72LBE","","","U",2022-10-25 00:00:00,2023-09-30 00:00:00,2022-11-07 00:00:00,2022-11-07 00:00:00,"A",1690,"Y",2022-11-07 00:00:00,"acknowledged","","","","F42278C","MID RESPONSE JOB"
"N","F42281Q             ","U","BA19XGV","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","VOLVO","V90 2.0 D4 190H","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","BJ70FFV","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","VOLVO","XC40 1.5 T4 RCH","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","CK70ODN"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","BMW","330E","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DA68UPG","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","PEUGEOT","3008 SUV 1.6 PR","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DC68BWU"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","PEUGEOT","3008","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DC68HBL"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","PEUGEOT","3008SUV","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DG18PUY"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","PEUGEOT","5008","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DP69UXX"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MITSUBISHI","OUTLANDER","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DU69TJY"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","HYUNDAI","IONIQ","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","DX68SYG"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MITSUBISHI","OUTLANDER","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","EO21CLJ","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","",".","..","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FE69HZF","","","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-10 00:00:00,2022-10-10 00:00:00,"A",1639,"Y",2022-10-10 00:00:00,"acknowledged","","","","F42281Q","MID RESPONSE JOB"
"N","F42281Q             ","U","FG70YNA"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","BMW","3 SERIES 318D S","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FP69BVF"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","TOYOTA","RAV4","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FP69BVK"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","","","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FV20GKD"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MITSUBISHI","OUTLANDER","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FV20VJU"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MITSUBISHI","OUTLANDER","POLICY RENEWAL JOB","MID RESPONSE JOB"
"N","F42281Q             ","U","FY20NPE"," "," ","U",2022-10-01 00:00:00,2023-09-30 00:00:00,2022-10-01 00:00:00,2022-10-01 00:00:00,"A",1621,"Y",2022-10-01 00:00:00,"acknowledged","","MITSUBISHI","OUTLANDER","POLICY RENEWAL JOB","MID RESPONSE JOB"
